,text,company,sentiment
0,".@wesley83 i have a 3g iphone. after 3 hrs tweeting at #rise_austin, it was dead!  i need to upgrade. plugin stations at #sxsw.",apple,0
1,"@jessedee know about @fludapp ? awesome ipad/iphone app that you'll likely appreciate for its design. also, they're giving free ts at #sxsw",apple,1
2,@swonderlin can not wait for #ipad 2 also. they should sale them down at #sxsw.,apple,1
3,@sxsw i hope this year's festival isn't as crashy as this year's iphone app. #sxsw,apple,0
4,"@sxtxstate great stuff on fri #sxsw: marissa mayer (google), tim o'reilly (tech books/conferences) &amp; matt mullenweg (wordpress)",google,1
5,@teachntech00 new ipad apps for #speechtherapy and communication are showcased at the #sxsw conference http://ht.ly/49n4m #iear #edchat #asd,apple,0
7,"#sxsw is just starting, #ctia is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",google,1
8,beautifully smart and simple idea rt @madebymany @thenextweb wrote about our #hollergram ipad app for #sxsw! http://bit.ly/ieavob,apple,1
9,counting down the days to #sxsw plus strong canadian dollar means stock up on apple gear,apple,1
10,excited to meet the @samsungmobileus at #sxsw so i can show them my sprint galaxy s still running android 2.1.   #fail,google,1
11,find &amp; start impromptu parties at #sxsw with @hurricaneparty http://bit.ly/gvlrin i can't wait til the android app comes out.,google,1
12,"foursquare ups the game, just in time for #sxsw http://j.mp/grn7pk) - still prefer @gowalla by far, best looking android app to date.",google,1
13,gotta love this #sxsw google calendar featuring top parties/ show cases to check out.  rt @hamsandwich via @ischafer =&gt;http://bit.ly/axzwxb,google,1
14,great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,apple,1
15,"haha, awesomely rad ipad app by @madebymany http://bit.ly/htdfim #hollergram #sxsw",apple,1
16,holler gram for ipad on the itunes app store -  http://t.co/kfn3f5q (via @marc_is_ken) #sxsw,apple,0
17,i just noticed dst is coming this weekend. how many iphone users will be an hour late at sxsw come sunday morning? #sxsw #iphone,apple,0
18,"just added my #sxsw flights to @planely. matching people on planes/airports. also downloaded the @klm iphone app, nicely done.",apple,1
19,must have #sxsw app! rt @malbonster: lovely review from forbes for our sxsw ipad app holler gram - http://t.co/g4gzypv,apple,1
20,need to buy an ipad2 while i'm in austin at #sxsw. not sure if i'll need to q up at an austin apple store?,apple,1
21,"oh. my. god. the #sxsw app for ipad is pure, unadulterated awesome. it's easier to browse events on ipad than on the website!!!",apple,1
22,"okay, this is really it: yay new @foursquare for #android app!!!!11 kthxbai. #sxsw",google,1
23,"photo: just installed the #sxsw iphone app, which is really nice! http://tumblr.com/x6t1pi6av7",apple,1
24,really enjoying the changes in gowalla 3.0 for android! looking forward to seeing what else they &amp; foursquare have up their sleeves at #sxsw,google,1
25,"rt @laurieshook: i'm looking forward to the #smcdallas pre #sxsw party wed., and hoping i'll win an #ipad resulting from my shameless promotion.  #chevysmc",apple,1
26,"rt haha, awesomely rad ipad app by @madebymany http://bit.ly/htdfim #hollergram #sxsw (via @michaelpiliero)",apple,1
27,"someone started an #austin @partnerhub group in google groups, pre-#sxsw. great idea",google,1
28,the new #4sq3 looks like it is going to rock. update for iphone and android should push tonight http://bit.ly/etsbzk #sxsw #keepaustinweird,apple,1
29,"they were right, the @gowalla 3 app on #android is sweeeeet! nice job by the team there. #sxsw",google,1
30,very smart from @madebymany #hollergram ipad app for #sxsw! http://t.co/a3xvwc6 (may leave my vuvuzela at home now),apple,1
31,you must have this app for your ipad if you are going to #sxsw http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,apple,1
32,"attn: all  #sxsw frineds, @mention register for #gdgtlive  and see cobra iradar for android. {link}",google,0
33,anyone at  #sxsw want to sell their old ipad?,apple,0
34,anyone at  #sxsw who bought the new ipad want to sell their older ipad to me?,apple,0
35,"at #sxsw.  oooh. rt @mention google to launch major new social network called circles, possibly today {link}",google,0
36,the best!  rt @mention ha! first in line for #ipad2 at #sxsw &quot;pop-up&quot; apple store was an event planner #eventprofs #pcma #engage365,apple,1
37,spin play - a new concept in music discovery for your ipad from @mention &amp; spin.com {link} #itunes #sxsw @mention,apple,0
38,@mention  - false alarm: google circles not coming nowûòand probably not ever? - {link} #google #circles #social #sxsw,google,0
39,vatornews - google and apple force print media to evolve? {link} #sxsw,both,0
40,@mention  - great weather to greet you for #sxsw! still need a sweater at night..apple putting up &quot;flash store&quot; downtown to sell ipad2,apple,1
41,"hootsuite - hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android: whether youûªre getting friend... {link}",both,0
42,hey #sxsw - how long do you think it takes us to make an iphone case? answer @mention using #zazzlesxsw and weûªll make you one!,apple,0
43,mashable! - the ipad 2 takes over sxsw [video] #ipad #sxsw #gadgets {link},apple,0
44,for i-pad ?rt @mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by ... {link},apple,0
45,#ipad2 's û÷#smartcoverûª opens to instant access - i should have waited to get one! - {link} #apple #sxsw,apple,1
46,hand-held û÷hoboûª: drafthouse launches û÷hobo with a shotgunûª iphone app #sxsw {link},apple,1
47,hooray rt ûï@mention apple is opening a pop-up store in austin for #sxsw | @mention {link},apple,1
48,orly....? ûï@mention google set to launch new social network #circles today at #sxswû,google,0
49,wooooo!!! ûï@mention apple store downtown austin open til midnight. #sxswû,apple,1
50,khoi vinh (@mention says conde nast's headlong rush into ipad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,apple,0
51,"ûï@mention {link} &lt;-- help me forward this doc to all anonymous accounts, techies,&amp; ppl who can help us jam #libya #sxsw",neither,0
52,÷¼ what? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter,neither,0
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",neither,0
54,ûï@mention @mention #google will connect the digital &amp; physical worlds through mobile - {link} #sxswû @mention,google,0
55,ûï@mention @mention talking about {link} - google's effort to allow users to have open systems #bettercloud #sxswû,google,1
56,"{link} rt @mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw.",google,0
57,{link} rt @mention 1st stop on the #sxsw #chaos &amp; @mention hunt: austin java. get in the spy game 4 a chance 2 win an ipad!,apple,1
58,{link} rt @mention those at #sxsw check out the holler gram ipad app from @mention  {link},apple,0
59,@mention  @mention &amp;  @mention having fun at #google [pic] #sxsw {link},google,0
60,&quot;via @mention : {link} guy kawasaki talks 'enchanted' at sxsw - he knows his stuff! #books #internet #apple #sxsw  &quot;,apple,0
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",google,0
62,#omfg! rt @mention heard about apple's pop-up store in downtown austin? pics are already on gowalla: {link} #sxsw #ipad2,apple,1
63,"#smile rt @mention i think apple's &quot;pop-up store&quot; in austin would be a lot more interesting if it actually, you know... popped up #sxsw",apple,0
64,again? rt @mention line at the apple store is insane.. #sxsw,apple,0
65,agree. rt @mention wait. fiona apple is in town??? somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,apple,0
66,at #sxsw? @mention / @mention wanna buy you a drink. 7pm at fado on 4th. {link} join us!,neither,0
67,attending @mention ipad design headaches #sxsw {link},apple,0
68,"boooo! rt @mention flipboard is developing an iphone version, not android, says @mention #sxsw",both,0
69,check out @mention @mention &amp; @mention in line for their ipad 2 in austin. power to them! #sxswi #sxsw  {link},apple,1
70,check! rt @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,google,0
71,chilcott: @mention #sxsw stand talking with blogger staff. too late to win competition for best tweet mentioning @mention so no t-shirt.,google,0
72,"do it. rt @mention come party w/ google tonight at #sxsw! {link} - bands, food, art, ice cream, nifty interactive maps!",google,1
73,gowalla's @mention promises to launch foursquare check-in + groupon rewards-type service at #sxsw. finger's crossed. {link},neither,0
74,"ha.ha. rt @mention #sxsw news: yahoo.com is loosing search traffic to new site, google.com. doubt it will last tho w/ that weird name.",google,0
75,holla! rt @mention at google party. best ever! get your butt over here. #sxsw,google,1
76,i love my @mention iphone case from #sxsw but i can't get my phone out of it #fail,apple,1
77,i worship @mention {link} #sxsw,neither,0
78,"ipad2? rt @mention droid &amp; mac here :) rt @mention my #agnerd confession, using laptop, ipad &amp; blackberry to follow #sxsw",apple,0
79,"launching @mention #sxsw? rt @mention @mention denies social network called circles will debut today, despite report {link}",neither,0
80,new post: @mention iphone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,apple,1
81,nice that @mention iphone app is behaving today. crashes yesterday were ridiculous. #sxsw,apple,1
82,nice!  rt @mention apple opening popup store for ipad launch in downtown austin during #sxsw {link} via @mention,apple,0
83,"nice!! rt @mention hey, apple fans! get a peek at the space that's slated to be a pop-up #sxsw apple store tomorrow: {link}",apple,1
84,"one thing @mention is doing so great is get a great, down to earth face to google as a company - you can only love her #sxsw #sxwsi",google,1
85,stay tune @mention showcase #h4ckers {link} #sxsw,neither,0
86,thank you @mention @mention for the #touchingstories preso #sxsw . here's their deck {link},neither,0
87,thank you @mention for an awesome #sxsw party! {link},neither,0
88,"thanks rt @mention if you're trying to contact friends or family in #japan, @mention has created a person finder: {link} #sxsw",neither,0
89,thanks to @mention for her mention of our new #speech ipad apps being showcased at the #sxsw conf. {link} #sxswh #sxsh,apple,1
90,thanks to @mention for publishing the news of @mention new medical apps at the #sxswi conf. blog {link} #sxsw #sxswh,neither,0
91,thanks to @mention for publishing the news of our new medical apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,neither,0
92,what !?!? @mention  #sxsw does not provide iphone chargers?!?  i've changed my mind about going next year!,apple,0
93,wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #sxsw #ipad2,apple,0
94,wonder if @mention is putting tips from the @mention api... #sxsw #suxsw,neither,0
95,"xmas!! rt @mention shiny new @mention @mention @mention apps, a new @garyvee book, pop-up ipad 2 stores... #sxsw is christmas for nerds.",apple,1
96,yai!!! rt @mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by (cont) {link},apple,1
97,"yes!!! rt @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #sxsw",neither,0
98,"fast, fun &amp; future: @mention of google presenting at #sxsw on search, local and mobile",google,1
99,gsd&amp;m &amp; google's industry party tonight @mention - see u there! {link} #sxsw #austin #welivehere #gsdm,google,0
100,"new buzz? &quot;@mention google to launch major new social network called circles, possibly today {link} rt @mention #sxsw&quot;",google,0
101,headline: &quot;#ipad 2 is the must-have gadget at #sxsw&quot; hmm... i could have seen that one coming! {link} #gadget,apple,1
102,ûï@mention &quot;apple has opened a pop-up store in austin so the nerds in town for #sxsw can get their new ipads. {link} #wow,apple,0
103,know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iphone. i'm just sayin'. #sxsw,apple,0
104,".@mention &quot;google launched checkins a month ago.&quot; check ins are ok, but check outs are the future. #sxsw #bizzy",google,1
105,".@mention &quot;google launched checkins a month ago.&quot; check ins are ok, but check outs are the future. #sxsw #bizzy (via @mention",google,0
106,"ûï@mention &quot;google before you tweet&quot; is the new &quot;think before you speak.&quot; - mark belinsky, #911tweets panel at #sxsw.û",google,1
107,"attending &quot;left brain search = google, right brain search = x&quot;  #bettersearch  -- talking about the future of search engines at #sxsw",google,0
108,#hp opens &quot;mobile park&quot;  &amp; content incubator at #sxsw  {link}   #apple  constructs  &quot;pop-up&quot; store  {link},apple,0
109,"kawasaki: &quot;not c.s. lewis level reasoning, but apple's continued existence is evidence for the existence of god&quot; #bawling #sxsw",apple,1
110,kawasaki: &quot;pagemaker saved apple.&quot; oh those were the days. #sxsw #jwtatl #enchantment,apple,0
111,kawasaki: &quot;pagemaker saved apple.&quot; oh those were the days. #sxsw #jwtatl #enchantment  via @mention,apple,1
112,spark for #android is up for a #teamandroid award at #sxsw read about it here: {link},google,1
113,"unboxing. #apple #sxsw  @mention apple store, sxsw {link}",apple,0
114,"#sxsw and #apple ipad 2's are great, but thoughts are w/ japan and apac regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",apple,1
115,"at #sxsw, #apple schools the #marketing experts | sxsw - cnet blogs {link}",apple,0
116,"at #sxsw, #apple schools the marketing experts - {link}",apple,1
117,"at #sxsw, #apple schools the marketing experts {link}",apple,0
118,"temporary #apple store is def not a tent, it's a powerhouse gym #sxsw  {link}",apple,1
119,"temporary #apple store on 6th and congress for #sxsw, along with 10,000 very happy hipsters.",apple,1
120,ûï@mention #apple wins #sxsw {link} opening a temporary store in downtown austin to support #ipad2 launch - that is good.,apple,1
121,#ipad and #austin are trending today. have fun at #sxsw all you nerdy nerds!!!,apple,1
122,"headed to #austin for #sxsw? check out my map for newbies {link} @mention @mention , @mention @mention enjoy!",neither,0
123,funny how #austin is trending but not #sxsw. only a matter of minutes at this point (at least according to twitter for iphone).,apple,0
124,christian #ipad #iphone devs i want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,apple,1
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. an unexpected experience can be good.,apple,0
126,the apple #ipad2  has taken #sxsw and #austin by storm.. {link}  @mention excited to a be a part #mobile,apple,1
127,i can haz #ipad2 ifrom #sxsw gr8 {link},apple,1
128,"stacks of #ipad2's waiting to be bought at #sxsw. i got mine, no hassle at all. apple handled this perfectly {link}",apple,1
129,"#google's #mobile future, and the elusive 'power of here' - {link} (via @mention #eurorscg #sxsw #sxswi",google,0
130,"for those #notatsxsw (or at #sxsw), here's {link} free to download and meet nearby peps",neither,0
131,does your #smallbiz need reviews to play on google places...we got an app for that..{link}  #seo #sxsw,google,1
132,does your #smallbiz need reviews to play on google places...we got an app for that..{link} #seo #sxsw,google,0
133,"#samsung, #sony follow #apple, #hp lead @mention {link} #austin #atx #sxsw",apple,0
134,"#samsung, #sony follow #apple, #hp lead @mention {link} #austin #atx #sxsw /via @mention ^rg",apple,0
135,"take that #sxsw ! rt @mention major south korean director gets $130,000 to make a movie entirely with his iphone. {link}",apple,1
136,"beautiful #sxsw (@mention apple store, sxsw) [pic]: {link}",apple,1
137,q1 was at #sxsw #sxswi for prep. amazing pre push locally. focus on location based. google owns 10% of the regions billboards. #pr20chat,google,0
138,any other #sxsw accounts i need to follow or apps to download for iphone?,apple,0
139,headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,apple,0
140,headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},apple,0
141,btw - the #sxsw apple store is sold out of all 3g models (vzw &amp; at&amp;t).,apple,0
142,must have #sxsw app! rt @mention lovely review from forbes for our sxsw ipad app holler gram - {link},apple,1
143,temporary #sxsw apple store. apple being sneaky as usual  {link},apple,1
144,anyone at #sxsw been by the pop-up apple store in austin? that's gotta be a hopping place today.,apple,0
145,ûï@mention #sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana.  cool app.û,apple,1
146,apple won #sxsw from day one. seeing a ton of #ipad2,apple,1
147,#fastball #sxsw giving away two new ipad2 wifi 32g black apple cover tweet @mention fo more info #sxswi #attsxsw  tonight @mention bo.lt house,apple,0
148,anyone at #sxsw had a chance to check out the pop-up apple store? wondering if it is worth the trek from the convention center...,apple,0
149,ûï@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteû @mention did you manage to get yours?,apple,1
150,ûï@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteû also known as the white jeans configuration.,apple,1
151,offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. sucks to not be here. #sxsw,apple,1
152,@mention  #sxsw is an austin conference. do a google search - they have interactive / music / film.,google,0
153,anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,apple,0
154,anyone at #sxsw know if the apple store has had a new shipment of ipads yet?,apple,0
155,marc ecko #sxsw launches #iphone app. to autodial political change! {link} #edreform #edtech #eduvc #fightthepaddle,apple,0
156,#poursite #sxsw learning about the life-changing impact of the ipad on real people's actual lives - bravo!,apple,1
157,@mention  #sxsw lonelyplanet austin guide for #iphone is free for a limited time {link} #lp #travel,apple,1
158,"more free #sxsw mp3 downloads, this time from itunes: {link}",apple,0
159,anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,google,0
160,@mention  #sxsw prompt for memory: go to google map and describe a childhood walk,google,0
161,the apple #sxsw store still has ipad 2's and short lines.,apple,1
162,essential #sxsw tools: {link},neither,0
163,"just left #sxsw tradeshow demo of @mention at the google theatre. ok, i get it. i see why all the presenters here are using it.",google,1
